fecha_pub,fuente,titulo,snippet,url,query,score,temas,alerta_ruido
2026-09-02,Facebook INEI,Seguridad vial — difusión OTD ENAPRES,Noticia de resultados ENAPRES difundida en Facebook institucional (OTD).,https://www.facebook.com/share/p/1DHJBXsNpx/,oficial:otd,10,vial,
2026-08-29,Facebook INEI,Uso de videojuegos — difusión OTD ENAPRES,Noticia de resultados ENAPRES difundida en Facebook institucional (OTD).,https://www.facebook.com/share/p/1NGhn1CrZZ/,oficial:otd,10,cultura,
2026-08-26,Facebook INEI,Dengue — difusión OTD ENAPRES,Noticia de resultados ENAPRES difundida en Facebook institucional (OTD).,https://www.facebook.com/share/p/1UBSeQ7QHs/,oficial:otd,10,salud,
2026-07-21,Facebook INEI,Rabia canina — difusión OTD ENAPRES,Noticia de resultados ENAPRES difundida en Facebook institucional (OTD).,https://www.facebook.com/share/p/1cwQz6XW5m/,oficial:otd,10,salud,
2026-07-04,Facebook INEI,Libros digitales — difusión OTD ENAPRES,Noticia de resultados ENAPRES difundida en Facebook institucional (OTD).,https://www.facebook.com/share/p/1EE2gVk1HL/,oficial:otd,10,cultura,
2026-05-18,Facebook INEI,Visita a museos — difusión OTD ENAPRES,Noticia de resultados ENAPRES difundida en Facebook institucional (OTD).,https://www.facebook.com/share/p/1DfB4UWgNp/,oficial:otd,10,cultura,
2026-05-14,Facebook INEI,Electrificación rural en el Perú — difusión OTD ENAPRES,Noticia de resultados ENAPRES difundida en Facebook institucional (OTD).,https://www.facebook.com/share/p/14fS57K5Nzf/,oficial:otd,10,electrificacion,
2026-07-20,Facebook INEI,Publicación de Resultados ENAPRES 2025,Aviso de publicación anual difundido en Facebook institucional (OTD).,https://www.facebook.com/share/p/19MGqnugHL/,oficial:otd,10,contexto,
2026-05-13,Facebook INEI,Publicación de Acceso a los Servicios Básicos en el Perú,Aviso de publicación difundido en Facebook institucional (OTD).,https://www.facebook.com/share/p/199HCaWAdt/,oficial:otd,10,saneamiento,
